epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.3184,2.0446,1.4388,0.67908,0.4812,0.55084,0.26071,1.8047,1.5886,1.7413,0.00023654,0.00023654,0.00023654
2,1.2181,1.464,1.3622,0.73266,0.49258,0.56697,0.25791,1.8854,1.6249,1.8278,0.00046514,0.00046514,0.00046514
3,1.1961,1.3949,1.3543,0.70945,0.46034,0.51931,0.23726,1.9609,1.8047,1.9671,0.00068432,0.00068432,0.00068432
4,1.1795,1.3441,1.346,0.7252,0.52758,0.56849,0.25644,1.8845,1.5994,1.8309,0.00067159,0.00067159,0.00067159
5,1.1681,1.2877,1.3279,0.72512,0.53425,0.60338,0.302,1.7976,1.5359,1.7747,0.00067159,0.00067159,0.00067159
6,1.1411,1.2068,1.3041,0.77188,0.57572,0.63582,0.29618,1.8858,1.395,1.8223,0.00065745,0.00065745,0.00065745
7,1.116,1.1489,1.2894,0.69668,0.57545,0.62444,0.30379,1.8141,1.3851,1.7776,0.00064331,0.00064331,0.00064331
8,1.0891,1.1064,1.2691,0.79165,0.61748,0.67247,0.33277,1.7884,1.2486,1.7874,0.00062918,0.00062918,0.00062918
9,1.0725,1.0738,1.2597,0.77984,0.65772,0.71301,0.3771,1.6452,1.159,1.6286,0.00061504,0.00061504,0.00061504
10,1.0582,1.0425,1.2456,0.79559,0.59892,0.67957,0.36438,1.6684,1.2608,1.6686,0.0006009,0.0006009,0.0006009
11,1.03,0.99932,1.2285,0.77975,0.64948,0.70395,0.37411,1.6333,1.1181,1.6505,0.00058677,0.00058677,0.00058677
12,1.0219,0.9742,1.2215,0.85726,0.62653,0.72384,0.37074,1.7234,1.123,1.6936,0.00057263,0.00057263,0.00057263
13,1.0101,0.94729,1.2121,0.81663,0.65157,0.71956,0.35681,1.7559,1.1382,1.7369,0.00055849,0.00055849,0.00055849
14,0.99591,0.9216,1.2061,0.85306,0.63726,0.73856,0.39786,1.6236,1.0639,1.6209,0.00054435,0.00054435,0.00054435
15,0.98252,0.89166,1.1931,0.83512,0.6541,0.73553,0.42631,1.501,1.0079,1.5234,0.00053022,0.00053022,0.00053022
16,0.97253,0.88436,1.1868,0.83109,0.68137,0.75141,0.4373,1.46,0.95041,1.5081,0.00051608,0.00051608,0.00051608
17,0.95481,0.86575,1.1795,0.87934,0.63522,0.743,0.41941,1.5201,0.99034,1.5618,0.00050194,0.00050194,0.00050194
